User-ID,Location,Age,username,passwd
220000,"pearland, texas, usa",16.0,mUXLepEnstSj220000,hhtoGIc1w7
220001,"são paulo, são paulo, brazil",30.0,MqL7rgKq8vhv220001,WwzhICSC3#
220002,"billings, montana, usa",,cgDeeachRvNL220002,DXoBubsOgar
220003,"berlin, berlin, germany",24.0,IEGPhQ5O4org220003,ox@Ib93NPxtRE
220004,"atlanta, georgia, usa",,jLMgfnSJ1t8o220004,6DSf6lhup
220005,"weehawken, new jersey, usa",25.0,W6c8LP7kNjUL220005,g6Sx@V1bWX
220006,"ettlingen, baden-wuerttemberg, germany",38.0,8zvg6o4VBhCR220006,H@G3uaqF4
220007,"seoul, n/a, south korea",,b25uugACSJtq220007,9u7@VMYBkd1
220008,"pontedera, toscana, italy",21.0,AhLDoV6YYfpE220008,TvkjiRazcfmwA
220009,"&#20975;&#37324;, guizhou, china",18.0,Km8LaBwMSnoB220009,@cU3Q3Blm2PRc
220010,"sanguenero, australian capital territory, italy",36.0,yRY4VUJIuo1Z220010,sz#a#a5YU
220011,"mount vernon, new york, usa",16.0,FYV9sGCwzliq220011,SSehXKwDC
220012,"montreal, quebec, canada",18.0,SxrfTRrmhh65220012,LHRYZLmPdj2p
220013,"san marcos, california, usa",23.0,rXGybnjnkmJO220013,Ad2OgqcKjyNme
220014,"zionsville, indiana, usa",,yGkJlfS5Inni220014,TziD9Q7CJlyh
220015,"iowa city, florida, usa",25.0,o912pWnbTirI220015,uTzhBHYfOs71I
220016,"bedford, england, united kingdom",20.0,YzIurYg8hl1G220016,8@dP4jvIS
220017,"santiago de compostela, galicia, spain",19.0,H8nJg4hreSAr220017,LId31RrhbLmb
220018,"krapina, n/a, croatia",22.0,B9xD8A8j5SPF220018,hssYdzSYFnWP
220019,"khi, n/a, pakistan",21.0,fiKyxGIl9OEn220019,RwniSQalSQL
220020,"commerce twp., michigan, usa",,NSrpWvdlMO8E220020,awyexuyRL8Py
220021,"kettering, ohio, usa",42.0,uugGNKLULVJ2220021,TD2u6TeEeZwoz
220022,"bern, berne, switzerland",,olgsbyPTz6Hg220022,md4ZAa#LFuQyG
220023,"bur dubai, arizona, united arab emirates",31.0,BePhFZaMhKXU220023,evLmEJWzvBJlC
220024,"sunrise, florida, usa",,RhV9Kdwu4rLO220024,pKvJHDhxlpv
220025,"barcelona, catalunya, spain",27.0,XKgBFgByPtDD220025,zg6AjcAAHzkFl
220026,"tarragona, tarragona, spain",,K7M28CqIEC6m220026,l4f7eCBfvTQ
220027,"e. rockaway, new york, usa",35.0,QJfRhchjh69T220027,ZO63xsUqx
220028,"kipfenberg, bayern, germany",,InbkXiwINJGC220028,aTAAu#EAg
